tool,feature,unique_n,others_n,unique_median,others_median,unique_mean,others_mean,median_diff,u_statistic,p_value,cliffs_delta,effect_size,pval_adj,reject,significant,abs_delta,practically_significant
FlexFL,txt_title_avg_sentence_len,49,317,-0.70287777031615,0.2569171900411298,-0.4866881269401338,0.44155352632203415,-0.9597949603572797,3285.0,2.7481093752284613e-11,-0.5770295499903432,large,7.694706250639692e-10,True,True,0.5770295499903432,True
FlexFL,technical_completeness,49,317,-1.7027986871133822,0.6863970062505214,-0.7059460622177852,0.5013243640376147,-2.3891956933639036,3328.0,2.2792297295073333e-11,-0.5714929504924998,large,6.609766215571266e-10,True,True,0.5714929504924998,True
FlexFL,txt_title_digit_density,49,317,-0.6450552541976357,0.4141617239360861,-0.3482170036494845,0.348046632418362,-1.0592169781337217,3513.0,2.4846862268120155e-10,-0.547672696838988,large,6.708652812392442e-09,True,True,0.547672696838988,True
FlexFL,ari,46,317,32.75,20.3,36.32173913043478,23.04353312302839,12.45,11257.5,2.4700447549228837e-09,0.5440268824578247,large,6.422116362799498e-08,True,True,0.5440268824578247,True
FlexFL,coleman_liau,46,317,31.605,20.23,35.010000000000005,23.35539432176656,11.375,11073.5,1.295766413158245e-08,0.5187902893978878,large,3.2394160328956125e-07,True,True,0.5187902893978878,True
FlexFL,expected_observed_alignment,49,317,-1.719935307046086,0.7027131095927159,-0.6816574142008854,0.5192949329386742,-2.4226484166388023,3774.0,2.307209959583842e-13,-0.5140668254683577,large,7.15235087470991e-12,True,True,0.5140668254683577,True
FlexFL,ambiguity_type_count,49,317,1.7403303232807357,-0.6117211791839219,0.684307199725175,-0.5127915681443991,2.3520515024646578,11682.5,7.118798438477035e-22,0.5042168286873109,large,2.6339554222365028e-20,True,True,0.5042168286873109,True
FlexFL,flesch,46,317,5.575,32.6,-5.383913043478262,23.471608832807576,-27.025000000000002,3842.0,2.1580806399504164e-07,-0.47304896447675215,medium,5.179393535881e-06,True,True,0.47304896447675215,True
FlexFL,embedding_cluster_distance,49,317,-0.4033538053588345,0.3443261940279002,-0.4388670420667956,0.306733918780647,-0.7476799993867347,4277.0,4.1464699849835346e-07,-0.44930148715637674,medium,9.53688096546213e-06,True,True,0.44930148715637674,True
FlexFL,embedding_cluster_size,49,317,0.4146459595637947,-0.3447299154714549,0.4869674714719139,-0.3609903299641321,0.7593758750352495,10962.0,2.6245809198919902e-06,0.4114465975664714,medium,5.7740780237623784e-05,True,True,0.4114465975664714,True
FlexFL,kincaid,46,317,15.65,12.7,16.754347826086953,13.60410094637224,2.950000000000001,10105.0,2.330128801623671e-05,0.38595528734055684,medium,0.00046602576032473423,True,True,0.38595528734055684,True
FlexFL,concept_network_concept_breadth,49,317,-1.610864843126201,0.410786675927473,-0.5381517921997616,0.32787983129751164,-2.021651519053674,4898.0,4.596454147252076e-06,-0.36934268975729095,medium,9.652553709229359e-05,True,True,0.36934268975729095,True
FlexFL,num_versions,49,317,-0.3124943305803233,-0.0494572680454745,-0.11924261116696502,0.06754028973816482,-0.26303706253484876,5219.5,0.0001594142334349203,-0.327946951651323,small,0.0030288704352634858,True,True,0.327946951651323,True
FlexFL,semantic_coherence,49,317,0.1053371080482209,-0.2886284747758545,0.34168988254730737,-0.18581389098388973,0.3939655828240754,10097.0,0.0007234218109356923,0.30007081697032123,small,0.013021592596842461,True,True,0.30007081697032123,True
FlexFL,fog,46,317,9.84,11.3,10.689347826086955,11.45391167192429,-1.4600000000000009,5834.5,0.028578808176227082,-0.19976683582498972,small,0.4572609308196333,False,False,0.19976683582498972,False
FlexFL,txt_reasoning_avg_sentence_len,49,317,-0.2475199498496658,-0.0140365238068689,-0.2062235615699875,-0.026939432181618973,-0.2334834260427969,6607.5,0.09254722513068236,-0.1492306701860555,small,1.0,False,False,0.1492306701860555,False
FlexFL,num_temporal_markers,49,317,-0.4635308650875505,-0.4635308650875505,-0.05709748774168889,0.0363303466337965,0.0,6923.0,0.1320103883596539,-0.10860748084722849,negligible,1.0,False,False,0.10860748084722849,False
FlexFL,stacktrace_depth,49,317,-0.2020454871191189,-0.2020454871191189,-0.20204548711911888,0.007295372351662424,0.0,6982.5,0.020326373157986657,-0.10094637223974763,negligible,0.34554834368577314,False,False,0.10094637223974763,False
FlexFL,num_causal_markers,49,317,-0.4554019288379759,-0.1531279935599871,-0.10377714698398888,-0.04347025678721512,-0.30227393527798885,6994.0,0.25423834405667545,-0.09946565376939419,negligible,1.0,False,False,0.09946565376939419,False
FlexFL,exception_user_frames,49,317,-0.2073567129463963,-0.2073567129463963,-0.20735671294639627,-0.016563626631580883,0.0,7080.5,0.030906182446419628,-0.08832807570977919,negligible,0.4635927366962944,False,False,0.08832807570977919,False
FlexFL,num_OB,49,317,-0.0777818550633016,-0.2886514946017978,0.08144624009842004,-0.01724829923363865,0.2108696395384962,8390.5,0.3620082623764388,0.08034507178265628,negligible,1.0,False,False,0.08034507178265628,False
FlexFL,smog,46,317,11.850000000000001,12.0,11.556521739130433,12.09211356466877,-0.14999999999999858,6733.0,0.4017589622386015,-0.07653271156219997,negligible,1.0,False,False,0.07653271156219997,False
FlexFL,semantic_entropy,49,317,0.4978435081071266,0.2810181588822409,-0.13447482974853503,0.11952872958701787,0.21682534922488567,7174.0,0.3903848566684115,-0.07628919075516642,negligible,1.0,False,False,0.07628919075516642,False
FlexFL,num_exception_types,49,317,-0.5251530779927517,-0.5251530779927517,-0.027984347693491327,0.07427243847531559,0.0,7232.5,0.34289720839497895,-0.0687568402755424,negligible,1.0,False,False,0.0687568402755424,False
FlexFL,num_env_mentions,49,317,-0.2192296649910203,-0.2192296649910203,0.12039328541250835,-0.08273766536512268,0.0,8262.5,0.0485986531892238,0.0638640314169832,negligible,0.6803811446491332,False,False,0.0638640314169832,False
FlexFL,ambiguity,49,317,-0.5855868655187282,-0.5855868655187282,-0.16860998766378982,-0.0055962053150030115,0.0,7276.0,0.4132682445158983,-0.06315586171377068,negligible,1.0,False,False,0.06315586171377068,False
FlexFL,txt_root_cause_guess_digit_density,49,317,-0.1710687069843892,-0.1710687069843892,-0.17106870698438922,0.11476804281266978,0.0,7350.0,0.09789066118526679,-0.05362776025236593,negligible,1.0,False,False,0.05362776025236593,False
FlexFL,txt_reasoning_digit_density,49,317,-0.2000607604811334,-0.2000607604811334,-0.1569584191448734,0.05391080767543007,0.0,7355.0,0.21687879105532326,-0.05298396961308183,negligible,1.0,False,False,0.05298396961308183,False
FlexFL,num_EB,49,317,-0.673136533919824,0.2959479588785432,-0.0007105593250385885,0.05138404902406568,-0.9690844927983672,7384.5,0.5452859370534201,-0.04918560484130561,negligible,1.0,False,False,0.04918560484130561,False
FlexFL,lix,46,317,51.08,51.69,51.61673913043477,52.04706624605678,-0.6099999999999994,6968.5,0.6282725935449829,-0.044232615553422026,negligible,1.0,False,False,0.044232615553422026,False
FlexFL,txt_likely_impacted_code_concepts_digit_density,49,317,-0.1486940122073022,-0.1486940122073022,-0.07114066966825926,0.1419058292457556,0.0,7528.0,0.34366586581720904,-0.030708813493851798,negligible,1.0,False,False,0.030708813493851798,False
boostnsift,coleman_liau,9,319,43.32,20.48,38.66555555555555,24.325705329153603,22.84,2462.0,0.00025517578398155075,0.7150818530128875,large,0.008931152439354276,True,True,0.7150818530128875,True
boostnsift,ari,9,319,44.1,20.3,38.211111111111116,23.86175548589342,23.8,2426.0,0.0004174902146744434,0.6900034831069314,large,0.013777177084256631,True,True,0.6900034831069314,True
boostnsift,flesch,9,319,-27.38,32.43,-23.349999999999998,19.984545454545454,-59.81,445.0,0.00041762132913528843,-0.6900034831069314,large,0.013777177084256631,True,True,0.6900034831069314,True
boostnsift,txt_description_line_count,11,319,-0.5785371583951312,0.3684732874943819,-0.3743449293863201,0.189667119389369,-0.9470104458895131,653.5,0.0004026602570297592,-0.627529210601311,large,0.013690448739011813,True,True,0.627529210601311,True
boostnsift,kincaid,9,319,18.5,12.7,19.01111111111111,14.052037617554861,5.800000000000001,2312.5,0.0017819834918298145,0.610936955764542,large,0.05345950475489444,False,False,0.610936955764542,False
boostnsift,txt_title_avg_sentence_len,11,319,-0.70287777031615,0.2569171900411298,-0.538064494295203,0.4323725673872968,-0.9597949603572797,704.0,0.0005899076088767243,-0.5987460815047022,large,0.018287135875178454,True,True,0.5987460815047022,True
boostnsift,txt_title_digit_density,11,319,-0.6450552541976357,0.3660154976572806,-0.44350555338975534,0.3123073039464455,-1.0110707518549162,809.0,0.001975794775174279,-0.5388999715018524,large,0.057298048480054084,False,False,0.5388999715018524,False
boostnsift,num_causal_markers,11,319,-0.7576758641159647,-0.1531279935599871,-0.5103608261612466,-0.006255078299522325,-0.6045478705559776,843.0,0.002898290980986647,-0.5195212311199772,large,0.08115214746762611,False,False,0.5195212311199772,False
boostnsift,embedding_cluster_distance,11,319,-0.3813911898100356,0.3094146291999576,-0.8702431532448884,0.2722025082937435,-0.6908058190099933,847.0,0.003552740162779707,-0.5172413793103449,large,0.09592398439505208,False,False,0.5172413793103449,False
boostnsift,expected_observed_alignment,11,319,-0.2663462570628048,0.7027131095927159,-0.5306351752415833,0.5098125773587799,-0.9690593666555207,879.5,0.00022483930658394238,-0.4987175833570818,large,0.008094215037021926,True,True,0.4987175833570818,True
boostnsift,ambiguity_type_count,11,319,-0.2197125954398122,-0.6117211791839219,0.5286674280716697,-0.5158695505568357,0.3920085837441097,2626.0,2.048162861648967e-09,0.49672271302365345,large,7.578202588101179e-08,True,True,0.49672271302365345,True
boostnsift,description_length,11,319,-0.4603261424297939,0.0463689412084168,-0.3547453355971361,0.24363046466968852,-0.5066950836382107,935.5,0.008513332145778799,-0.46679965802222856,medium,0.21283330364446998,False,False,0.46679965802222856,False
boostnsift,repair_difficulty,11,319,0.0684006013983548,-0.6545677804703322,0.39702259315684896,-0.5367171351500447,0.722968381868687,2562.5,0.0062357372383949035,0.46053006554573955,medium,0.1621291681982675,False,False,0.46053006554573955,False
boostnsift,technical_completeness,11,319,-0.1100015582041131,0.6863970062505214,-0.47200090568349257,0.4983237820428437,-0.7963985644546344,1005.0,0.011942888548183903,-0.42718723282986604,medium,0.2866293251564137,False,False,0.42718723282986604,False
boostnsift,actionability,11,319,0.3430376111637781,0.8491089986580442,-0.3930662251915182,0.5302364316162027,-0.5060713874942662,1096.5,0.016888118950401355,-0.3750356226845255,medium,0.38842673585923115,False,False,0.3750356226845255,False
boostnsift,concept_network_concept_breadth,11,319,0.410786675927473,0.410786675927473,-0.44688366548923714,0.33896206605513773,0.0,1166.0,0.03271416139171595,-0.335423197492163,medium,0.6555766237745275,False,False,0.335423197492163,False
boostnsift,reasoning_composite,11,319,-0.31697461235302,0.7333182500071839,-0.3169746123530197,0.478153056173592,-1.050292862360204,1176.0,0.03858576035990664,-0.32972356796808205,small,0.7331294468382262,False,False,0.32972356796808205,False
boostnsift,clarity,11,319,0.2638805499878769,0.7623879238337528,-0.4159022325292265,0.5123528773906803,-0.49850737384587585,1179.0,0.029798937444296708,-0.32801367911085777,small,0.6555766237745275,False,False,0.32801367911085777,False
boostnsift,lix,9,319,53.88,51.71,57.03,52.01849529780565,2.1700000000000017,1886.5,0.10833314597865909,0.31417624521072796,small,1.0,False,False,0.31417624521072796,False
boostnsift,num_temporal_markers,11,319,-0.4635308650875505,-0.4635308650875505,-0.4635308650875505,0.016910280029071773,0.0,1210.0,0.030121259959170872,-0.3103448275862069,small,0.6555766237745275,False,False,0.3103448275862069,False
boostnsift,num_versions,11,319,-0.1809757993128989,-0.0494572680454745,-0.12119464873679692,0.06886818171549974,-0.1315185312674244,1276.5,0.11714383036728503,-0.27244229125106867,small,1.0,False,False,0.27244229125106867,False
boostnsift,num_EB,11,319,-0.673136533919824,-0.673136533919824,-0.23264358264783888,0.040765835383048406,0.0,1390.5,0.19919278118124584,-0.20746651467654603,small,1.0,False,False,0.20746651467654603,False
boostnsift,ambiguity,11,319,-0.5855868655187282,-0.5855868655187282,-0.4367835144325369,-0.032692138315923186,0.0,1432.0,0.23078280892798164,-0.18381305215161015,small,1.0,False,False,0.18381305215161015,False
boostnsift,num_OB,11,319,-0.4995211341402941,-0.2886514946017978,-0.19280165844793595,-0.08703632200229518,-0.2108696395384963,1466.5,0.35116013768917076,-0.16414933029353093,small,1.0,False,False,0.16414933029353093,False
boostnsift,semantic_coherence,11,319,0.0114514839302217,-0.2834875088432844,0.5811116282036136,-0.19302404031248926,0.2949389927735061,2027.0,0.38196145339312093,0.15531490453120547,small,1.0,False,False,0.15531490453120547,False
boostnsift,semantic_entropy,11,319,0.3840927717717992,0.2747513796549951,-0.2587601551582933,0.11073188388552764,0.1093413921168041,1511.0,0.4347593041378588,-0.13878597891137076,negligible,1.0,False,False,0.13878597891137076,False
boostnsift,smog,9,319,12.5,12.0,12.733333333333333,12.170846394984325,0.5,1622.5,0.506082191563026,0.13026819923371646,negligible,1.0,False,False,0.13026819923371646,False
boostnsift,txt_reasoning_avg_sentence_len,11,319,-0.2475199498496658,-0.0140365238068689,-0.3048295180601706,-0.014806204703288075,-0.2334834260427969,1528.0,0.46724409057318417,-0.12909660872043316,negligible,1.0,False,False,0.12909660872043316,False
boostnsift,stacktrace_depth,11,319,-0.2020454871191189,-0.2020454871191189,-0.20204548711911888,0.08907294216585587,0.0,1545.5,0.22660227839369873,-0.11912225705329153,negligible,1.0,False,False,0.11912225705329153,False
boostnsift,embedding_cluster_size,11,319,0.1845320580379615,-0.3447299154714549,-0.12089184762359889,-0.3691840260097802,0.5292619735094164,1929.5,0.5687910981631068,0.09974351667141636,negligible,1.0,False,False,0.09974351667141636,False
boostnsift,txt_reasoning_digit_density,11,319,-0.2000607604811334,-0.2000607604811334,-0.2000607604811334,0.04478580413812161,0.0,1584.0,0.2803171204846818,-0.09717868338557993,negligible,1.0,False,False,0.09717868338557993,False
boostnsift,num_exception_types,11,319,-0.5251530779927517,-0.5251530779927517,-0.19295397183824592,0.08578780688909807,0.0,1584.5,0.512952505403151,-0.09689370190937589,negligible,1.0,False,False,0.09689370190937589,False
boostnsift,txt_root_cause_guess_digit_density,11,319,-0.1710687069843892,-0.1710687069843892,-0.17106870698438922,0.08931744394883936,0.0,1672.0,0.4652150634898995,-0.047021943573667714,negligible,1.0,False,False,0.047021943573667714,False
boostnsift,num_env_mentions,11,319,-0.2192296649910203,-0.2192296649910203,0.08334350900485066,-0.06272629913108706,0.0,1836.5,0.467810999387514,0.04673696209746366,negligible,1.0,False,False,0.04673696209746366,False
boostnsift,txt_likely_impacted_code_concepts_digit_density,11,319,-0.1486940122073022,-0.1486940122073022,-0.1486940122073022,0.07837542296610876,0.0,1683.0,0.4983181809891004,-0.04075235109717868,negligible,1.0,False,False,0.04075235109717868,False
boostnsift,exception_user_frames,11,319,-0.2073567129463963,-0.2073567129463963,-0.1804042136764335,0.06216827975323154,0.0,1715.5,0.8168722937480168,-0.022228555143915644,negligible,1.0,False,False,0.022228555143915644,False
boostnsift,fog,9,319,12.16,11.33,11.775555555555554,11.478777429467085,0.8300000000000001,1466.0,0.9148444013802947,0.02124695228143504,negligible,1.0,False,False,0.02124695228143504,False
buglocator,txt_description_line_count,9,308,-0.5785371583951312,0.3684732874943819,-0.32694535190169216,0.1954026347022613,-0.9470104458895131,519.0,0.0013846004966442033,-0.6255411255411255,large,0.05123021837583552,False,False,0.6255411255411255,False
buglocator,txt_title_avg_sentence_len,9,308,-0.70287777031615,0.363561074525272,-0.5654256525365889,0.4706089131173086,-1.066438844841422,564.0,0.0020966259003817054,-0.5930735930735931,large,0.07338190651335968,False,False,0.5930735930735931,False
buglocator,num_versions,9,308,-0.3124943305803233,-0.0494572680454745,-0.22481530973537367,0.06839700023312653,-0.26303706253484876,674.0,0.0072699485915232,-0.5137085137085137,large,0.24717825211178882,False,False,0.5137085137085137,False
buglocator,coleman_liau,9,308,28.53,20.095,28.126666666666665,23.271396103896105,8.435000000000002,2058.0,0.013227379454648686,0.48484848484848486,large,0.42327614254875795,False,False,0.48484848484848486,False
buglocator,txt_title_digit_density,9,308,-0.6450552541976357,0.392236887967951,-0.33215622166133857,0.37010725979827747,-1.0372921421655867,725.5,0.013520569319613061,-0.47655122655122656,large,0.42327614254875795,False,False,0.47655122655122656,False
buglocator,flesch,9,308,10.36,32.715,5.975555555555555,23.491818181818182,-22.355000000000004,768.5,0.02281603510640964,-0.44552669552669555,medium,0.6844810531922892,False,False,0.44552669552669555,False
buglocator,ari,9,308,26.4,20.1,26.999999999999996,22.972077922077922,6.299999999999997,1988.0,0.02646158025901876,0.43434343434343436,medium,0.767385827511544,False,False,0.43434343434343436,False
buglocator,description_length,9,308,-0.4515774503381989,0.0409010086511699,-0.2063710525487723,0.22674207055680187,-0.4924784589893688,792.0,0.028537714470907995,-0.42857142857142855,medium,0.7990560051854239,False,False,0.42857142857142855,False
buglocator,expected_observed_alignment,9,308,0.2181834262649555,0.7027131095927159,-0.05099973113935579,0.5296667941185159,-0.4845296833277605,864.5,0.009853879598415162,-0.37626262626262624,medium,0.32517802674770035,False,False,0.37626262626262624,False
buglocator,kincaid,9,308,14.6,12.7,15.56666666666667,13.640909090909089,1.9000000000000004,1907.0,0.05478338232662836,0.3759018759018759,medium,1.0,False,False,0.3759018759018759,False
buglocator,smog,9,308,12.9,12.05,13.211111111111112,12.220454545454544,0.8499999999999996,1876.5,0.07053799938354675,0.3538961038961039,medium,1.0,False,False,0.3538961038961039,False
buglocator,reasoning_composite,9,308,0.2081718188270818,0.7333182500071839,0.03312300843371469,0.5065504729066853,-0.5251464311801021,896.5,0.04362431630908547,-0.3531746031746032,medium,1.0,False,False,0.3531746031746032,False
buglocator,ambiguity,9,308,0.5350667621734899,-0.5855868655187282,0.5691168690853763,-0.026389569553416998,1.120653627692218,1830.5,0.06084010650147732,0.3207070707070707,small,1.0,False,False,0.3207070707070707,False
